,Date,Location,Site,PitID,latitude,longitude
331,2020-04-28,CB,O4,1,38.92617,-106.97888
332,2020-04-28,CB,O4,2,38.92619,-106.979
333,2020-04-28,CB,O4,3,38.92611,-106.97896
334,2020-04-28,CB,F14,1,38.92899,-106.97747
335,2020-04-28,CB,F14,2,38.92908,-106.97752
336,2020-04-29,CB,Upper,3,38.93334,-106.99005
337,2020-04-29,CB,Upper,2,38.93337,-106.99008
338,2020-05-12,CB,F12,2,38.92972,-106.9784
339,2020-05-12,CB,Aspen,1,38.92521,-106.97116
340,2020-04-29,CB,Upper,1,38.93334,-106.99004
341,2020-05-12,CB,F13,1,38.9295,-106.97779
342,2020-05-12,CB,F13,2,38.9295,-106.97776
343,2020-05-12,CB,F13,3,38.92949,-106.97779
344,2020-05-12,CB,F14,1,38.92908,-106.97738
345,2020-05-12,CB,F14,2,38.92905,-106.97739
346,2020-05-12,CB,F14,3,38.92902,-106.97743
347,2020-05-12,CB,Upper,3,38.93329,-106.98996
348,2020-05-13,CB,O4,2,38.92616,-106.97882
349,2020-05-12,CB,Upper,1,38.93329,-106.98999
350,2020-05-12,CB,Upper,2,38.93329,-106.99
351,2020-02-26,CB,F12,1,38.92971,-106.97826
352,2020-05-13,CB,O4,1,38.92612,-106.97886
353,2020-05-13,CB,O4,3,38.92616,-106.97882
354,2020-05-12,CB,F12,1,38.92971,-106.9783
355,2020-05-12,CB,F12,3,38.92982,-106.97841
356,2020-02-26,CB,F12,2,38.92965,-106.97818
357,2020-02-26,CB,O6,1,38.92658,-106.97979
358,2020-02-02,CB,Trench13NorthEdge,NorthE,38.9292,-106.9777
359,2020-02-02,CB,Trench13MiddleCanopy,Middle,38.9292,-106.9777
360,2020-02-02,CB,Trench13SouthOpen,SouthO,38.9292,-106.9777
361,2020-02-02,CB,Trench13NorthOpen,NorthO,38.9292,-106.9777
362,2020-02-02,CB,Trench13SouthEdge,SouthE,38.9292,-106.9777
363,2020-02-26,CB,O6,3,38.92668,-106.97971
364,2020-02-26,CB,F12,3,38.92967,-106.97829
365,2020-04-17,Grand Mesa,County Line Open,COGMCO,39.03397,-108.21391
366,2020-03-06,Grand Mesa,Skyway Open,COGMSO,39.04307,-108.06467
367,2020-04-22,Grand Mesa,Skyway Open,COGMSO,39.04404,-108.06224
368,2020-04-21,Grand Mesa,Skyway Open,COGMSO,39.044,-108.06216
369,2020-04-06,Grand Mesa,Skyway Open,COGMSO,39.05093,-108.0613
370,2020-04-19,Grand Mesa,Skyway Open,COGMSO,39.0441,-108.06182
371,2020-04-06,Grand Mesa,Skyway Open,COGMSO,39.05089,-108.06132
