,Unnamed: 0,Date,Location,Site,PitID,Latitude,Longitude,UTME,UTMN,UTMzone
220,220,3/4/20,Niwot Ridge,Saddle,CONWSA,40.05496566768546,-105.59064515364149,449623,4434025,13
221,221,12/20/19,Sagehen,Forest,CASHFO,39.429574956083684,-120.24202501839306,737385,4368079,10
222,222,1/29/20,Sagehen,Forest,CASHFO,39.429574956083684,-120.24202501839306,737385,4368079,10
223,223,2/12/20,Sagehen,Forest,CASHFO,39.42954115810197,-120.24211928299368,737377,4368075,10
224,224,2/19/20,Sagehen,Forest,CASHFO,39.42954115810197,-120.24211928299368,737377,4368075,10
225,225,2/26/20,Sagehen,Forest,CASHFO,39.42954115810197,-120.24211928299368,737377,4368075,10
226,226,3/4/20,Sagehen,Forest,CASHFO,39.42954115810197,-120.24211928299368,737377,4368075,10
227,227,3/11/20,Sagehen,Forest,CASHFO,39.42954115810197,-120.24211928299368,737377,4368075,10
228,228,12/20/19,Sagehen,Open,CASHOP,39.430405186502256,-120.2398083535107,737573,4368177,10
229,229,1/29/20,Sagehen,Open,CASHOP,39.43036046104541,-120.23982173606169,737572,4368172,10
230,230,2/12/20,Sagehen,Open,CASHOP,39.43036046104541,-120.23982173606169,737572,4368172,10
231,231,2/19/20,Sagehen,Open,CASHOP,39.430360185448805,-120.23981013041528,737573,4368172,10
232,232,2/26/20,Sagehen,Open,CASHOP,39.43036046104541,-120.23982173606169,737572,4368172,10
233,233,3/4/20,Sagehen,Open,CASHOP,39.43036046104541,-120.23982173606169,737572,4368172,10
234,234,3/11/20,Sagehen,Open,CASHOP,39.43036046104541,-120.23982173606169,737572,4368172,10
235,235,1/29/20,Sagehen,Tower 4,CASHT4,39.422164821034265,-120.29897637087517,732507,4367108,10
236,236,2/12/20,Sagehen,Tower 4,CASHT4,39.422164821034265,-120.29897637087517,732507,4367108,10
237,237,2/19/20,Sagehen,Tower 4,CASHT4,39.422164821034265,-120.29897637087517,732507,4367108,10
